Direction,TriggerLevel,TriggerTime,GoalLevel,ActionableTriggers,TotalHits,TotalCompletionRate
Above,-0.5,OPEN,-1.0,3136,36,1.15
Above,-0.5,OPEN,0.0,1517,360,23.73
Below,-0.5,OPEN,0.236,1112,13,1.17
Below,-0.5,OPEN,0.382,1121,6,0.54
Below,-0.5,OPEN,0.5,1124,4,0.36
Below,-0.5,OPEN,0.618,1127,3,0.27
Below,-0.5,OPEN,0.786,1128,3,0.27
Below,-0.5,OPEN,1.0,1129,0,0.0
Below,-0.5,OPEN,-0.236,993,153,15.41
Below,-0.5,OPEN,-0.382,992,315,31.75
Below,-0.5,OPEN,-0.5,992,470,47.38
Below,-0.5,OPEN,-0.618,428,183,42.76
Below,-0.5,OPEN,-0.786,732,187,25.55
Below,-0.5,OPEN,-1.0,954,157,16.46
Below,-0.5,OPEN,0.0,1075,46,4.28
Above,-0.382,0900,0.236,157,4,2.55
Above,-0.382,0900,0.382,157,2,1.27
Above,-0.382,0900,0.5,157,1,0.64
Above,-0.382,0900,0.618,157,1,0.64
Above,-0.382,0900,0.786,157,0,0.0
Above,-0.382,0900,1.0,157,0,0.0
Above,-0.382,0900,-0.236,152,112,73.68
Above,-0.382,0900,-0.382,44,43,97.73
Above,-0.382,0900,-0.5,43,23,53.49
Above,-0.382,0900,-0.618,55,12,21.82
Above,-0.382,0900,-0.786,79,7,8.86
Above,-0.382,0900,-1.0,134,3,2.24
Above,-0.382,0900,0.0,156,41,26.28
Below,-0.382,0900,0.236,100,1,1.0
Below,-0.382,0900,0.382,108,1,0.93
Below,-0.382,0900,0.5,115,0,0.0
Below,-0.382,0900,0.618,119,0,0.0
Below,-0.382,0900,0.786,122,0,0.0
Below,-0.382,0900,1.0,123,0,0.0
Below,-0.382,0900,-0.236,29,14,48.28
Below,-0.382,0900,-0.382,30,30,100.0
Below,-0.382,0900,-0.5,120,63,52.5
Below,-0.382,0900,-0.618,125,29,23.2
Below,-0.382,0900,-0.786,125,15,12.0
Below,-0.382,0900,-1.0,125,1,0.8
Below,-0.382,0900,0.0,57,9,15.79
Above,-0.382,1000,0.236,136,4,2.94
Above,-0.382,1000,0.382,136,1,0.74
Above,-0.382,1000,0.5,136,0,0.0
Above,-0.382,1000,0.618,136,0,0.0
Above,-0.382,1000,0.786,136,0,0.0
Above,-0.382,1000,1.0,136,0,0.0
Above,-0.382,1000,-0.236,134,99,73.88
Above,-0.382,1000,-0.382,20,20,100.0
Above,-0.382,1000,-0.5,19,15,78.95
Above,-0.382,1000,-0.618,20,5,25.0
Above,-0.382,1000,-0.786,42,3,7.14
Above,-0.382,1000,-1.0,93,1,1.08
Above,-0.382,1000,0.0,136,24,17.65
Below,-0.382,1000,0.236,97,11,11.34
Below,-0.382,1000,0.382,123,7,5.69
Below,-0.382,1000,0.5,136,2,1.47
Below,-0.382,1000,0.618,140,0,0.0
Below,-0.382,1000,0.786,142,0,0.0
Below,-0.382,1000,1.0,144,0,0.0
Below,-0.382,1000,-0.236,17,12,70.59
Below,-0.382,1000,-0.382,18,18,100.0
Below,-0.382,1000,-0.5,140,72,51.43
Below,-0.382,1000,-0.618,141,36,25.53
Below,-0.382,1000,-0.786,144,11,7.64
Below,-0.382,1000,-1.0,144,3,2.08
Below,-0.382,1000,0.0,35,11,31.43
Above,-0.382,1100,0.236,65,0,0.0
Above,-0.382,1100,0.382,65,0,0.0
Above,-0.382,1100,0.5,65,0,0.0
Above,-0.382,1100,0.618,65,0,0.0
Above,-0.382,1100,0.786,65,0,0.0
Above,-0.382,1100,1.0,65,0,0.0
Above,-0.382,1100,-0.236,65,44,67.69
Above,-0.382,1100,-0.382,0,0,0.0
Above,-0.382,1100,-0.5,0,0,0.0
Above,-0.382,1100,-0.618,1,1,100.0
Above,-0.382,1100,-0.786,13,7,53.85
Above,-0.382,1100,-1.0,30,8,26.67
Above,-0.382,1100,0.0,65,10,15.38
Below,-0.382,1100,0.236,30,8,26.67
Below,-0.382,1100,0.382,42,3,7.14
Below,-0.382,1100,0.5,57,4,7.02
Below,-0.382,1100,0.618,64,2,3.12
Below,-0.382,1100,0.786,71,1,1.41
Below,-0.382,1100,1.0,73,0,0.0
Below,-0.382,1100,-0.236,0,0,0.0
Below,-0.382,1100,-0.382,0,0,0.0
Below,-0.382,1100,-0.5,77,36,46.75
Below,-0.382,1100,-0.618,77,14,18.18
Below,-0.382,1100,-0.786,77,6,7.79
Below,-0.382,1100,-1.0,77,1,1.3
Below,-0.382,1100,0.0,8,6,75.0
Above,-0.382,1200,0.236,35,1,2.86
Above,-0.382,1200,0.382,35,0,0.0
Above,-0.382,1200,0.5,35,0,0.0
Above,-0.382,1200,0.618,35,0,0.0
Above,-0.382,1200,0.786,35,0,0.0
Above,-0.382,1200,1.0,35,0,0.0
Above,-0.382,1200,-0.236,35,31,88.57
Above,-0.382,1200,-0.382,0,0,0.0
Above,-0.382,1200,-0.5,0,0,0.0
Above,-0.382,1200,-0.618,0,0,0.0
Above,-0.382,1200,-0.786,7,6,85.71
Above,-0.382,1200,-1.0,19,7,36.84
Above,-0.382,1200,0.0,35,7,20.0
Below,-0.382,1200,0.236,20,5,25.0
Below,-0.382,1200,0.382,34,7,20.59
Below,-0.382,1200,0.5,44,6,13.64
Below,-0.382,1200,0.618,47,2,4.26
Below,-0.382,1200,0.786,56,0,0.0
Below,-0.382,1200,1.0,59,1,1.69
Below,-0.382,1200,-0.236,0,0,0.0
Below,-0.382,1200,-0.382,0,0,0.0
Below,-0.382,1200,-0.5,61,31,50.82
Below,-0.382,1200,-0.618,61,16,26.23
Below,-0.382,1200,-0.786,61,4,6.56
Below,-0.382,1200,-1.0,61,1,1.64
Below,-0.382,1200,0.0,6,6,100.0
Above,-0.382,1300,0.236,33,1,3.03
Above,-0.382,1300,0.382,33,1,3.03
Above,-0.382,1300,0.5,33,0,0.0
Above,-0.382,1300,0.618,33,0,0.0
Above,-0.382,1300,0.786,33,0,0.0
Above,-0.382,1300,1.0,33,0,0.0
Above,-0.382,1300,-0.236,33,32,96.97
Above,-0.382,1300,-0.382,0,0,0.0
Above,-0.382,1300,-0.5,0,0,0.0
Above,-0.382,1300,-0.618,0,0,0.0
Above,-0.382,1300,-0.786,6,5,83.33
