Direction,TriggerLevel,TriggerTime,GoalLevel,ActionableTriggers,TotalHits,TotalCompletionRate
Below,-0.786,3000,-0.236,3,3,100.0
Below,-0.786,3000,-0.382,0,0,0.0
Below,-0.786,3000,-0.5,0,0,0.0
Below,-0.786,3000,-0.618,0,0,0.0
Below,-0.786,3000,-0.786,3,0,0.0
Below,-0.786,3000,-1.0,3,1,33.33
Below,-0.786,3000,0.0,3,2,66.67
Above,-0.786,4000,0.236,7,3,42.86
Above,-0.786,4000,0.382,7,0,0.0
Above,-0.786,4000,0.5,7,0,0.0
Above,-0.786,4000,0.618,7,0,0.0
Above,-0.786,4000,0.786,7,0,0.0
Above,-0.786,4000,1.0,7,0,0.0
Above,-0.786,4000,-0.236,6,6,100.0
Above,-0.786,4000,-0.382,5,5,100.0
Above,-0.786,4000,-0.5,4,4,100.0
Above,-0.786,4000,-0.618,3,3,100.0
Above,-0.786,4000,-0.786,5,0,0.0
Above,-0.786,4000,-1.0,5,0,0.0
Above,-0.786,4000,0.0,6,5,83.33
Below,-0.786,4000,0.236,1,0,0.0
Below,-0.786,4000,0.382,1,0,0.0
Below,-0.786,4000,0.5,1,0,0.0
Below,-0.786,4000,0.618,1,0,0.0
Below,-0.786,4000,0.786,1,0,0.0
Below,-0.786,4000,1.0,1,0,0.0
Below,-0.786,4000,-0.236,1,1,100.0
Below,-0.786,4000,-0.382,1,1,100.0
Below,-0.786,4000,-0.5,1,1,100.0
Below,-0.786,4000,-0.618,0,0,0.0
Below,-0.786,4000,-0.786,1,0,0.0
Below,-0.786,4000,-1.0,1,0,0.0
Below,-0.786,4000,0.0,1,1,100.0
Above,-0.786,5000,0.236,6,4,66.67
Above,-0.786,5000,0.382,6,0,0.0
Above,-0.786,5000,0.5,6,0,0.0
Above,-0.786,5000,0.618,6,0,0.0
Above,-0.786,5000,0.786,6,0,0.0
Above,-0.786,5000,1.0,6,0,0.0
Above,-0.786,5000,-0.236,6,6,100.0
Above,-0.786,5000,-0.382,4,4,100.0
Above,-0.786,5000,-0.5,3,3,100.0
Above,-0.786,5000,-0.618,1,1,100.0
Above,-0.786,5000,-0.786,1,0,0.0
Above,-0.786,5000,-1.0,6,0,0.0
Above,-0.786,5000,0.0,6,5,83.33
Below,-0.786,5000,0.236,2,1,50.0
Below,-0.786,5000,0.382,2,0,0.0
Below,-0.786,5000,0.5,2,0,0.0
Below,-0.786,5000,0.618,2,0,0.0
Below,-0.786,5000,0.786,2,0,0.0
Below,-0.786,5000,1.0,2,0,0.0
Below,-0.786,5000,-0.236,1,1,100.0
Below,-0.786,5000,-0.382,1,1,100.0
Below,-0.786,5000,-0.5,1,1,100.0
Below,-0.786,5000,-0.618,0,0,0.0
Below,-0.786,5000,-0.786,0,0,0.0
Below,-0.786,5000,-1.0,2,0,0.0
Below,-0.786,5000,0.0,2,2,100.0
Above,-0.786,OPEN,0.236,1930,518,26.84
Above,-0.786,OPEN,0.382,2275,302,13.27
Above,-0.786,OPEN,0.5,2527,199,7.87
Above,-0.786,OPEN,0.618,2712,147,5.42
Above,-0.786,OPEN,0.786,2923,96,3.28
