GoalZone,GoalTime,TransitionCount,TriggerZone,TriggerTime,TotalTriggerOccurrences,TransitionPercentage,GoalTimeHourly,GoalTime10Min,Granularity
-0.786_to_-0.618,1330,29,-1.0_to_-0.786,930,152,19.08,1330,1330,10-Minute
-0.786_to_-0.618,1340,27,-1.0_to_-0.786,930,152,17.76,1340,1340,10-Minute
-0.786_to_-0.618,1350,31,-1.0_to_-0.786,930,152,20.39,1350,1350,10-Minute
-0.786_to_-0.618,1400,28,-1.0_to_-0.786,930,152,18.42,1400,1400,10-Minute
-0.786_to_-0.618,1410,27,-1.0_to_-0.786,930,152,17.76,1410,1410,10-Minute
-0.786_to_-0.618,1420,25,-1.0_to_-0.786,930,152,16.45,1420,1420,10-Minute
-0.786_to_-0.618,1430,23,-1.0_to_-0.786,930,152,15.13,1430,1430,10-Minute
-0.786_to_-0.618,1440,26,-1.0_to_-0.786,930,152,17.11,1440,1440,10-Minute
-0.786_to_-0.618,1450,27,-1.0_to_-0.786,930,152,17.76,1450,1450,10-Minute
-0.786_to_-0.618,1500,22,-1.0_to_-0.786,930,152,14.47,1500,1500,10-Minute
-0.786_to_-0.618,1510,25,-1.0_to_-0.786,930,152,16.45,1510,1510,10-Minute
-0.786_to_-0.618,1520,27,-1.0_to_-0.786,930,152,17.76,1520,1520,10-Minute
-0.786_to_-0.618,1530,31,-1.0_to_-0.786,930,152,20.39,1530,1530,10-Minute
-0.786_to_-0.618,1540,25,-1.0_to_-0.786,930,152,16.45,1540,1540,10-Minute
-0.786_to_-0.618,1550,28,-1.0_to_-0.786,930,152,18.42,1550,1550,10-Minute
-1.0_to_-0.786,940,107,-1.0_to_-0.786,930,152,70.39,0940,0940,10-Minute
-1.0_to_-0.786,950,87,-1.0_to_-0.786,930,152,57.24,0950,0950,10-Minute
-1.0_to_-0.786,1000,77,-1.0_to_-0.786,930,152,50.66,1000,1000,10-Minute
-1.0_to_-0.786,1010,56,-1.0_to_-0.786,930,152,36.84,1010,1010,10-Minute
-1.0_to_-0.786,1020,61,-1.0_to_-0.786,930,152,40.13,1020,1020,10-Minute
-1.0_to_-0.786,1030,57,-1.0_to_-0.786,930,152,37.5,1030,1030,10-Minute
